,0,1,2,3,lon,lat,block,tract,geoid,blockgroup
302,130702,BP-000686-003,50031410,A,-117.14864031,32.9252724489,,,,
303,130726,BP-001236-006,50031425,A,-117.233634445,32.7732215448,,,,
304,130730,BP-001236-010,50031432,A,-117.234088944,32.7726415392,,,,
305,130733,BP-000774-032,50031436,A,-117.087658644,32.8297473489,,,,
306,130734,BP-000774-033,50031439,A,-117.088091234,32.8297385219,,,,
307,130735,BP-000774-034,50031441,A,-117.088711448,32.8296459323,,,,
308,130738,BP-000774-037,50031452,A,-117.087563528,32.8300190227,,,,
309,130741,BP-000774-040,50031462,A,-117.088423977,32.8302370773,,,,
310,130750,BP-000774-009,50031486,A,-117.089497148,32.8308071957,,,,
311,130751,BP-000774-010,50031488,A,-117.088724639,32.8310304461,,,,
312,130755,BP-000774-014,50031496,A,-117.088504797,32.8299301482,,,,
313,130756,BP-000774-015,50031497,A,-117.088468784,32.8298125542,,,,
314,130757,BP-000774-016,50031498,A,-117.088127807,32.8299150316,,,,
315,130758,BP-000774-017,50031499,A,-117.088184643,32.8300207006,,,,
316,130759,BP-000774-018,50031501,A,-117.08823478,32.8301558746,,,,
317,130761,BP-000774-020,50031505,A,-117.087522529,32.8308441708,,,,
318,130768,BP-000774-027,50031518,A,-117.088007337,32.8311885057,,,,
319,130773,BP-001227-001,50031532,A,-117.239961503,32.7720056943,,,,
320,130777,BP-001227-018,50031536,A,-117.238110676,32.7713876747,,,,
321,130778,BP-001227-019,50031537,A,-117.237999484,32.771748804,,,,
322,130784,BP-001227-004,50031543,A,-117.238258785,32.7722627459,,,,
323,130786,BP-001227-006,50031545,A,-117.237076355,32.7726713927,,,,
324,130787,BP-001227-007,50031546,A,-117.236064476,32.7728742055,,,,
325,130788,BP-001227-008,50031547,A,-117.236045788,32.7732638024,,,,
326,130793,BP-001227-014,50031553,A,-117.238508912,32.7719589208,,,,
327,130796,BP-001243-032,50031557,A,-117.209597675,32.7898801311,,,,
328,130803,BP-001243-025,50031564,A,-117.209706942,32.7892197993,,,,
329,130804,BP-001243-001,50031565,A,-117.209195207,32.7890268591,,,,
330,130806,BP-000672-001,50031567,A,-117.129883642,32.9405851553,,,,
331,130810,BP-000672-045,50031576,A,-117.130306723,32.9426498599,,,,
332,130816,BP-000672-003,50031588,A,-117.132469347,32.9426132375,,,,
333,130824,BP-000672-011,50031603,A,-117.131743448,32.9417065,,,,
334,130825,BP-001084-010,50031607,A,-117.069931818,32.5813909934,,,,
335,130826,BP-001084-011,50031612,A,-117.069874933,32.5811044412,,,,
336,130830,BP-001084-015,50031624,A,-117.070341456,32.5817096281,,,,
337,130834,BP-001292-006,50031628,A,-117.152511872,32.7319760714,,,,
338,130840,BP-001292-012,50031634,A,-117.152463371,32.7320637271,,,,
339,130844,BP-001292-002,50031638,A,-117.158869555,32.7333274954,,,,
340,130855,BP-000814-002,50031659,A,-117.165589054,32.8019274401,,,,
341,130860,BP-000814-007,50031664,A,-117.166238531,32.8005985253,,,,
342,130861,BP-000814-008,50031665,A,-117.166600124,32.8005788655,,,,
343,130867,BP-000814-015,50031672,A,-117.167556882,32.7998078564,,,,
344,130882,BB-001213-024,50031756,A,-117.071658659,32.7356150016,,,,
345,130883,BB-001213-032,50031757,A,-117.07185392,32.7352463382,,,,
346,130885,BB-001213-034,50031761,A,-117.073000281,32.7356585388,,,,
347,130893,BB-001213-007,50031785,A,-117.073799608,32.7321580088,,,,
348,130896,BB-001213-010,50031790,A,-117.071023488,32.7327538013,,,,
349,130899,BB-001213-014,50031795,A,-117.0719773,32.7338285455,,,,
350,130900,BB-001213-015,50031796,A,-117.071969581,32.7343324087,,,,
351,130901,BB-001213-016,50031798,A,-117.071934579,32.7345740517,,,,
352,130906,BB-001213-021,50031816,A,-117.070396733,32.7347942102,,,,
353,130915,BB-001217-020,50031833,A,-117.145249864,32.7184169343,,,,
354,130917,BB-001217-022,50031837,A,-117.144326755,32.7197883524,,,,
355,130920,BB-001217-025,50031842,A,-117.143020283,32.7217144466,,,,
356,130922,BB-001217-002,50031846,A,-117.143351954,32.7207339589,,,,
357,130924,BB-001217-004,50031849,A,-117.144793088,32.7194100826,,,,
358,130927,BB-001217-007,50031853,A,-117.145651587,32.7193107003,,,,
359,130928,BB-001217-008,50031854,A,-117.145344327,32.7190168004,,,,
360,130930,BB-001217-010,50031856,A,-117.145607647,32.7182397824,,,,
361,130933,BB-001217-014,50031862,A,-117.145951489,32.7184608476,,,,
362,130934,BB-001217-015,50031863,A,-117.145908095,32.7180524399,,,,
363,130947,BP-000672-022,50031886,A,-117.13127538,32.9421886764,,,,
364,130955,BB-001223-005,50031904,A,-117.137967543,32.8129349649,,,,
365,130957,BB-001223-007,50031910,A,-117.139137379,32.8129395438,,,,
366,130959,BB-001223-009,50031915,A,-117.141169104,32.8129378938,,,,
367,130961,BB-001223-011,50031920,A,-117.14288347,32.8127565382,,,,
368,130977,BB-001223-019,50031944,A,-117.215008956,32.8091312575,,,,
369,131065,BP-000806-007,50032034,A,-117.200750243,32.8063855112,,,,
370,131391,BL-001266-002,50032363,A,-117.206310444,32.8281960679,,,,
371,131392,BL-001271-001,50032366,A,-117.193842874,32.7935804725,,,,
372,131394,BL-001262-001,50032370,A,-117.200704035,32.8541652745,,,,
