,tract,blockgroup
1662,017015,1
1663,017021,2
1664,002708,3
1665,008333,2
1666,008335,3
1667,008343,3
1668,008353,2
1669,008362,1
1670,008363,1
1671,016100,2
1672,008503,3
1673,016201,2
1674,016202,2
1675,016301,1
1676,008303,1
1677,008307,1
1678,013410,3
1679,013420,1
1680,013701,2
1681,017109,2
1682,019207,4
1683,017015,2
1684,017035,1
1685,017035,2
1686,017035,3
1687,017036,1
1688,017036,2
1689,017036,3
1690,015100,3
1691,003603,1
*1692,017106,3
1693,013908,2
1694,018614,1
1695,021205,2
1696,010015,1
1697,020027,3
1698,013310,2
*1699,021900,2
1700,009510,2
1701,013421,2
1702,009301,4
1703,015502,1
*1704,010601,2
1705,007301,3
1706,008503,2
1707,002902,2
1708,003004,2
1709,003103,3
1710,003115,4
1711,003214,3
1712,003305,1
1713,020810,3
1714,017040,2
1715,017040,3
1716,017041,2
1717,017041,3
1718,017041,4
1719,017046,2
1720,017047,2
1721,017047,3
1722,017048,1
1723,004700,2
1724,004800,1
1725,004800,3
1726,004900,1
1727,004900,2
1728,004900,3
1729,005000,1
1730,017043,1
1731,017048,3
1732,017048,4
1733,017049,1
1734,017050,1
1735,017304,2
*1736,017304,3
1737,017304,4
*1738,017305,1
1739,019905,2
1740,020013,1
1741,020304,1
1742,021202,2
*1743,021302,2
1744,017050,2
1745,017104,1
1746,017107,1
1747,017022,4
1748,010010,2
1749,017107,2
1750,017108,1
1751,017108,2
1752,017108,3
1753,017037,2
1754,009604,1
1755,012402,3
1756,017108,4
1757,017303,3
*1758,017304,1
1759,020305,3
1760,020306,2
1761,020307,3
1762,020307,4
1763,017037,4
1764,017039,1
1765,017040,1
1766,021303,3
1767,008324,1
1768,002707,4
1769,002708,2
1770,002602,1
1771,002602,2
1772,002702,1
1773,002702,2
1774,002708,4
1775,002804,2
1776,002902,1
1777,002903,1
1778,002903,3
1779,002904,1
1780,002904,2
1781,003208,2
1782,003208,4
1783,003208,5
1784,003209,1
1785,003209,2
1786,003209,3
1787,002904,3
1788,002904,4
1789,002905,1
1790,002905,3
1791,003001,1
1792,003001,2
1793,000100,1
