,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,mobile_counts,web_counts,phone_counts,gsl_meandist,gsl_stddist,gsl_mediandist,dsl_meandist,dsl_stddist,dsl_mediandist,sl_count,landarea,cent_lat,cent_lon,sl_density,total_pop,rep_per_cap,graffiti_per,dump_per,lighting_per,tract_in_city
112,8363.0,3.0,1.0,0.0,1.0,0.0,,1.0,,,,,85.2136378168,85.2136378168,85.2136378168,4.0,79447.0,32.8630916,-117.2237614,5.03480307626e-05,1827,0.000547345374932,0.0,1.0,0.0,1.0
113,8364.0,1.0,4.0,0.0,0.0,2.0,,2.0,2.0,,,,,,,20.0,404363.0,32.8576312,-117.2259345,4.94605094927e-05,912,0.00438596491228,0.0,0.0,0.5,1.0
114,8364.0,2.0,1.0,1.0,0.0,0.0,,1.0,,259.64203813,259.64203813,259.64203813,,,,7.0,241871.0,32.8621091,-117.2276112,2.89410470871e-05,2481,0.000403063280935,1.0,0.0,0.0,1.0
115,8364.0,3.0,2.0,0.0,0.0,0.0,,,1.0,,,,,,,22.0,343009.0,32.858681,-117.2298905,6.41382587629e-05,1852,0.00107991360691,0.0,0.0,0.0,1.0
116,13802.0,2.0,0.0,,,,,,,,,,,,,,,,,,1230,0.0,,,,0.0
117,14200.0,4.0,0.0,,,,,,,,,,,,,,,,,,925,0.0,,,,0.0
118,14805.0,1.0,0.0,,,,,,,,,,,,,,,,,,1426,0.0,,,,0.0
119,14806.0,1.0,0.0,,,,,,,,,,,,,,,,,,912,0.0,,,,0.0
120,14902.0,2.0,0.0,,,,,,,,,,,,,,,,,,641,0.0,,,,0.0
121,15601.0,3.0,0.0,,,,,,,,,,,,,,,,,,1469,0.0,,,,0.0
122,15703.0,3.0,0.0,,,,,,,,,,,,,,,,,,3452,0.0,,,,0.0
123,15901.0,2.0,0.0,,,,,,,,,,,,,,,,,,1660,0.0,,,,0.0
124,15902.0,4.0,0.0,,,,,,,,,,,,,,,,,,1999,0.0,,,,0.0
125,16302.0,3.0,0.0,,,,,,,,,,,,,,,,,,1884,0.0,,,,0.0
126,18300.0,4.0,0.0,,,,,,,,,,,,,,,,,,604,0.0,,,,0.0
127,18603.0,3.0,0.0,,,,,,,,,,,,,,,,,,1430,0.0,,,,0.0
128,18613.0,1.0,0.0,,,,,,,,,,,,,,,,,,2904,0.0,,,,0.0
129,18803.0,3.0,0.0,,,,,,,,,,,,,,,,,,3207,0.0,,,,0.0
130,19806.0,3.0,0.0,,,,,,,,,,,,,,,,,,4551,0.0,,,,0.0
131,19809.0,2.0,0.0,,,,,,,,,,,,,,,,,,1580,0.0,,,,0.0
132,20023.0,2.0,0.0,,,,,,,,,,,,,,,,,,1877,0.0,,,,0.0
133,20028.0,2.0,0.0,,,,,,,,,,,,,,,,,,2027,0.0,,,,0.0
134,18100.0,6.0,0.0,,,,,,,,,,,,,,,,,,772,0.0,,,,0.0
135,18200.0,3.0,0.0,,,,,,,,,,,,,,,,,,1029,0.0,,,,0.0
136,18200.0,4.0,0.0,,,,,,,,,,,,,,,,,,2007,0.0,,,,0.0
137,19808.0,1.0,0.0,,,,,,,,,,,,,,,,,,903,0.0,,,,0.0
138,19808.0,2.0,0.0,,,,,,,,,,,,,,,,,,1972,0.0,,,,0.0
139,19808.0,3.0,0.0,,,,,,,,,,,,,,,,,,1629,0.0,,,,0.0
140,19809.0,3.0,0.0,,,,,,,,,,,,,,,,,,1192,0.0,,,,0.0
141,21400.0,2.0,37.0,0.0,3.0,0.0,10.0,14.0,13.0,,,,50.6673099238,50.6673099238,47.5132406925,51.0,387920.0,32.7300893,-117.2281795,0.000131470406269,1652,0.022397094431,0.0,0.0810810810811,0.0,1.0
142,21500.0,2.0,12.0,1.0,0.0,4.0,2.0,4.0,6.0,34.2236128493,34.2236128493,34.2236128493,,,,148.0,1406709.0,32.952985,-117.2061648,0.000105210103867,2927,0.00409976084728,0.0833333333333,0.0,0.333333333333,1.0
143,21500.0,3.0,5.0,0.0,0.0,3.0,2.0,2.0,1.0,,,,,,,53.0,438376.0,32.9560555,-117.2094635,0.00012090077924,908,0.00550660792952,0.0,0.0,0.6,1.0
144,21600.0,1.0,0.0,,,,,,,,,,,,,,,,,,2728,0.0,,,,0.0
145,19601.0,3.0,0.0,,,,,,,,,,,,,,,,,,2095,0.0,,,,0.0
146,17200.0,4.0,0.0,,,,,,,,,,,,,,,,,,1317,0.0,,,,0.0
147,17019.0,1.0,11.0,0.0,0.0,2.0,4.0,5.0,2.0,,,,,,,98.0,937356.0,33.0242346,-117.0557799,0.00010454939212,1672,0.00657894736842,0.0,0.0,0.181818181818,1.0
148,16701.0,2.0,0.0,,,,,,,,,,,,,,,,,,2010,0.0,,,,0.0
149,17047.0,1.0,9.0,0.0,0.0,1.0,3.0,4.0,2.0,,,,,,,61.0,654631.0,32.9201738,-117.0701638,9.318226604e-05,1584,0.00568181818182,0.0,0.0,0.111111111111,1.0
150,17051.0,2.0,16.0,1.0,0.0,1.0,8.0,3.0,5.0,330.745261384,330.745261384,330.745261384,,,,39.0,551592.0,33.0047611,-117.0611001,7.07044337119e-05,902,0.0177383592018,0.0625,0.0,0.0625,1.0
151,17051.0,3.0,18.0,0.0,0.0,2.0,10.0,7.0,1.0,,,,,,,48.0,1115579.0,33.0091347,-117.0704318,4.30269841939e-05,2296,0.00783972125436,0.0,0.0,0.111111111111,1.0
152,17403.0,4.0,0.0,,,,,,,,,,,,,,,,,,1589,0.0,,,,0.0
153,17702.0,2.0,0.0,,,,,,,,,,,,,,,,,,1066,0.0,,,,0.0
154,17813.0,1.0,0.0,,,,,,,,,,,,,,,,,,1904,0.0,,,,0.0
155,19905.0,3.0,0.0,,,,,,,,,,,,,,,,,,486,0.0,,,,0.0
156,20013.0,3.0,0.0,,,,,,,,,,,,,,,,,,2387,0.0,,,,0.0
157,20015.0,2.0,0.0,,,,,,,,,,,,,,,,,,1759,0.0,,,,0.0
158,20017.0,3.0,0.0,,,,,,,,,,,,,,,,,,475,0.0,,,,0.0
159,10014.0,2.0,65.0,9.0,3.0,0.0,29.0,23.0,12.0,158.867336847,158.867336847,101.553833999,559.047333577,559.047333577,705.449072496,548.0,9352868.0,32.5787826,-117.0187686,5.85916533838e-05,16326,0.00398137939483,0.138461538462,0.0461538461538,0.0,1.0
160,17109.0,4.0,0.0,,,,,,,,,,,,,,,,,,1641,0.0,,,,0.0
161,10800.0,2.0,0.0,,,,,,,,,,,,,,,,,,1548,0.0,,,,0.0
162,11100.0,3.0,0.0,,,,,,,,,,,,,,,,,,731,0.0,,,,0.0
