tract,blockgroup,count,graffiti_count,dump_count,lighting_count,gsl_meandist,dsl_meandist,sl_count,landarea,cent_lat,cent_lon,sl_density
13419.0,2.0,,,,,,,,,,,
13421.0,1.0,,,,,,,,,,,
17022.0,1.0,9.0,0.0,0.0,4.0,,,49.0,383773.0,32.9098777,-117.0934329,0.000127679643956
17022.0,2.0,6.0,0.0,0.0,1.0,,,51.0,358423.0,32.9056758,-117.094796,0.000142289975811
17022.0,3.0,3.0,0.0,0.0,0.0,,,44.0,415072.0,32.9042955,-117.0913109,0.000106005705034
13104.0,2.0,,,,,,,,,,,
13309.0,5.0,,,,,,,,,,,
20903.0,1.0,,,,,,,,,,,
21302.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
8301.0,2.0,11.0,2.0,3.0,0.0,399.857867461,199.864212221,45.0,904892.0,32.8149109,-117.2357728,4.97296914991e-05
8301.0,3.0,9.0,0.0,0.0,0.0,,,13.0,462090.0,32.8216413,-117.2381666,2.81330476747e-05
8303.0,3.0,12.0,1.0,1.0,0.0,316.253142019,322.141664658,22.0,696025.0,32.8359294,-117.25347,3.16080600553e-05
8306.0,1.0,10.0,0.0,1.0,3.0,,116.195006218,27.0,307760.0,32.8502103,-117.220299,8.77306992462e-05
8306.0,2.0,3.0,0.0,0.0,0.0,,,44.0,508090.0,32.8428882,-117.2263389,8.65988309158e-05
8307.0,3.0,9.0,0.0,0.0,1.0,,,59.0,606648.0,32.8497895,-117.2079376,9.7255739737e-05
8310.0,1.0,8.0,0.0,0.0,0.0,,,22.0,1882087.0,32.8325156,-117.2391334,1.16891514579e-05
8311.0,1.0,23.0,0.0,0.0,1.0,,,45.0,1686336.0,32.8279798,-117.26378,2.66850734373e-05
1500.0,2.0,8.0,1.0,1.0,0.0,239.904339498,137.851493899,22.0,235005.0,32.7416744,-117.1202955,9.36150294675e-05
1500.0,3.0,6.0,0.0,0.0,0.0,,,15.0,190413.0,32.7419786,-117.1252525,7.87761339824e-05
1500.0,4.0,25.0,4.0,0.0,0.0,60.9259270805,,22.0,156693.0,32.7461279,-117.1266192,0.000140401932441
1600.0,1.0,52.0,33.0,0.0,5.0,97.7854915003,,46.0,201912.0,32.7524065,-117.1174,0.000227822021475
1600.0,2.0,32.0,7.0,6.0,3.0,85.5815157134,133.351515315,31.0,150302.0,32.7527488,-117.1204973,0.00020625141382
1600.0,3.0,22.0,7.0,2.0,1.0,117.027722153,105.150743782,29.0,153541.0,32.7522285,-117.1228434,0.000188874632834
1600.0,4.0,40.0,13.0,3.0,0.0,89.3511916448,79.0088773736,35.0,182416.0,32.7513473,-117.125062,0.000191869134286
1700.0,1.0,23.0,3.0,2.0,1.0,99.7182879123,59.5312600472,24.0,154005.0,32.7582998,-117.1166732,0.000155839096133
1700.0,2.0,39.0,4.0,2.0,3.0,54.3988728084,102.262770132,26.0,177636.0,32.7579589,-117.1194706,0.000146366727465
1700.0,3.0,34.0,3.0,4.0,2.0,85.2887070249,59.8065901553,34.0,206755.0,32.7579716,-117.1227504,0.000164445841697
1800.0,1.0,51.0,12.0,9.0,1.0,145.784983562,161.597335809,28.0,169457.0,32.7619822,-117.1119106,0.000165233658096
8311.0,2.0,10.0,0.0,0.0,2.0,,,49.0,825170.0,32.819888,-117.2623973,5.93817031642e-05
8313.0,2.0,17.0,1.0,1.0,0.0,190.229649186,246.96861736,57.0,1176452.0,32.8565232,-117.2431993,4.84507655221e-05
20806.0,1.0,,,,,,,,,,,
20806.0,2.0,,,,,,,,,,,
20806.0,3.0,,,,,,,,,,,
21000.0,2.0,,,,,,,,,,,
4000.0,2.0,48.0,13.0,11.0,4.0,84.0789085931,143.579680069,37.0,140645.0,32.70693,-117.1273797,0.000263073696185
10109.0,1.0,17.0,4.0,1.0,0.0,66.4847633824,119.005701566,69.0,11049234.0,32.5494881,-117.0884184,6.24477678724e-06
17809.0,1.0,,,,,,,,,,,
3301.0,2.0,18.0,4.0,1.0,0.0,52.8176657671,48.4209681545,77.0,1070245.0,32.7045358,-117.1023429,7.19461431728e-05
3303.0,1.0,1.0,0.0,1.0,0.0,,165.001296805,6.0,208346.0,32.69034,-117.0983788,2.87982490665e-05
3303.0,2.0,9.0,0.0,0.0,3.0,,,72.0,410357.0,32.6940534,-117.0987858,0.000175456980142
3404.0,1.0,16.0,9.0,1.0,0.0,124.956733481,297.556479456,75.0,763362.0,32.7136965,-117.0893563,9.82495853867e-05
3404.0,2.0,14.0,3.0,0.0,0.0,53.8758898851,,65.0,907301.0,32.7142362,-117.097825,7.16410540714e-05
3403.0,3.0,6.0,2.0,1.0,0.0,201.794486375,144.922587133,39.0,315650.0,32.7099169,-117.1040348,0.000123554569935
3501.0,1.0,19.0,13.0,0.0,0.0,98.3541136134,,43.0,524232.0,32.7042659,-117.1122724,8.20247523997e-05
3401.0,1.0,27.0,2.0,5.0,0.0,86.0740839499,132.224954008,47.0,597688.0,32.7310972,-117.0939213,7.86363453842e-05
3214.0,2.0,,,,,,,,,,,
3301.0,1.0,27.0,8.0,4.0,0.0,62.5990092848,106.407132146,66.0,456389.0,32.6985451,-117.1008495,0.000144613476661
3401.0,2.0,12.0,5.0,0.0,1.0,205.729362789,,58.0,1095513.0,32.7223415,-117.1012128,5.29432329877e-05
3403.0,1.0,15.0,5.0,1.0,0.0,197.300083854,69.4774838151,53.0,731374.0,32.7154348,-117.1114843,7.24663441686e-05
3403.0,2.0,14.0,4.0,3.0,0.0,60.6325199723,85.1899515065,55.0,339843.0,32.7132794,-117.1066079,0.000161839437623
18905.0,1.0,,,,,,,,,,,
19001.0,1.0,,,,,,,,,,,
19106.0,2.0,,,,,,,,,,,
13314.0,1.0,,,,,,,,,,,
9603.0,1.0,3.0,0.0,0.0,0.0,,,6.0,185444.0,32.78728,-117.1112412,3.23547809581e-05
16616.0,1.0,,,,,,,,,,,
9704.0,5.0,4.0,0.0,0.0,0.0,,,53.0,465340.0,32.8048626,-117.0519783,0.000113895216401
9509.0,1.0,26.0,0.0,4.0,1.0,,122.993894802,40.0,2448122.0,32.8089036,-117.0870148,1.63390549981e-05
9506.0,1.0,11.0,0.0,0.0,1.0,,,84.0,1079868.0,32.8244863,-117.0893658,7.77872851126e-05
17813.0,2.0,,,,,,,,,,,
17200.0,3.0,1.0,0.0,0.0,0.0,,,,,,,
17401.0,2.0,,,,,,,,,,,
17401.0,4.0,,,,,,,,,,,
9505.0,3.0,17.0,0.0,0.0,4.0,,,142.0,1355204.0,32.8317322,-117.0927792,0.000104781272783
9505.0,2.0,8.0,0.0,1.0,0.0,,248.273602848,41.0,697303.0,32.8410963,-117.0820528,5.87979687453e-05
9504.0,2.0,2.0,0.0,0.0,0.0,,,58.0,1299261.0,32.9118928,-117.0677678,4.46407611712e-05
8353.0,3.0,1.0,0.0,0.0,1.0,,,24.0,195525.0,32.9331852,-117.1332588,0.00012274645186
17403.0,1.0,,,,,,,,,,,
17801.0,2.0,,,,,,,,,,,
17801.0,3.0,,,,,,,,,,,
17801.0,4.0,,,,,,,,,,,
18614.0,3.0,,,,,,,,,,,
13310.0,1.0,,,,,,,,,,,
