tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
100,2,1,,3.0,1500000US060730001002,60730001002,60.2,60.0,60.2,1466,1260,1247,0,0,5,0,0,8,0,8,206,9,10,0,19,8,55,17,0,9,32,54,120,38,5,112,187,106406,0,675,81606,661,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,982100
202,3,1,,1.0,1500000US060730002023,60730002023,37.7,39.4,33.8,2329,1943,1643,22,21,183,0,0,74,0,74,386,26,26,39,73,0,80,29,50,14,174,13,157,130,89,63,158,81118,11,1110,53922,571,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,68,198,197,26,0,477100
300,3,2,1.0,,1500000US060730003003,60730003003,42.0,41.6,50.7,1330,1198,1086,0,0,26,2,0,84,0,84,132,40,98,0,30,47,20,18,0,16,75,12,92,137,64,52,92,95553,0,793,60684,316,477,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,12,292,0,90,38,15,573900
500,1,6,,,1500000US060730005001,60730005001,34.8,34.4,36.6,773,701,616,0,24,0,0,0,61,0,61,72,18,8,0,26,22,26,15,17,13,51,53,50,8,31,65,25,62500,0,428,54485,181,247,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,49,15,92,28,9,25,7,591100
500,2,1,,,1500000US060730005002,60730005002,41.1,41.2,41.0,1088,923,787,18,0,69,0,22,27,0,27,165,55,43,0,7,51,47,5,50,41,102,81,59,26,25,36,9,53207,0,637,37982,174,463,0,10,0,0,0,0,0,0,0,0,17,0,0,22,7,97,103,50,89,45,23,0,631900
600,1,1,,,1500000US060730006001,60730006001,33.9,32.8,34.6,685,510,377,36,0,54,7,0,36,0,36,175,15,18,7,22,7,17,17,66,0,39,60,46,25,0,23,7,53563,0,369,37732,33,336,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,34,36,133,34,45,16,9,507400
600,2,5,4.0,,1500000US060730006002,60730006002,35.3,40.7,34.7,1056,872,776,29,0,20,0,0,47,14,33,184,49,28,0,54,26,30,10,26,8,85,0,157,55,42,0,5,55043,23,552,36377,168,407,0,0,0,0,0,0,6,0,0,0,0,7,8,24,0,59,64,70,24,92,45,8,442100
600,3,18,1.0,5.0,1500000US060730006003,60730006003,46.4,43.1,55.9,1158,937,747,83,0,61,12,0,34,0,34,221,34,64,40,73,22,12,7,52,0,53,78,80,106,50,29,33,60880,8,725,46814,262,471,0,0,0,0,41,8,0,0,15,0,0,15,0,7,6,23,14,170,71,68,33,0,411400
700,1,5,,3.0,1500000US060730007001,60730007001,38.3,38.4,36.7,1171,1060,924,55,0,56,0,0,25,0,25,111,14,16,55,30,72,47,0,102,26,44,58,111,29,26,75,10,49338,28,687,42126,156,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,82,51,228,70,83,30,0,495700
700,2,2,,,1500000US060730007002,60730007002,36.6,39.8,35.5,2024,1828,1696,70,0,47,0,0,15,0,15,196,63,44,16,15,10,32,28,13,35,70,279,124,169,46,88,39,71698,16,1055,45893,367,704,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,100,68,116,209,76,76,45,482200
800,1,6,,,1500000US060730008001,60730008001,51.5,52.6,44.9,670,453,436,0,0,0,17,0,0,0,0,217,61,14,55,0,55,54,0,46,14,14,44,14,16,39,17,0,32569,0,443,32781,66,377,0,0,0,0,0,0,0,0,0,0,0,0,89,14,94,0,39,58,16,16,0,51,494300
800,4,3,,1.0,1500000US060730008004,60730008004,40.5,35.5,46.8,1558,1312,890,299,0,105,0,0,18,0,18,246,98,145,102,58,128,23,46,71,40,47,80,84,51,15,16,34,28966,10,1028,32773,166,872,0,0,0,0,0,16,0,17,0,36,0,0,52,0,121,146,124,252,59,49,0,0,231000
900,1,8,,,1500000US060730009001,60730009001,41.9,42.9,37.7,1243,855,765,34,0,41,15,0,0,0,0,388,21,13,12,72,33,108,0,30,110,132,45,29,0,70,25,29,46987,15,714,40854,151,578,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,56,229,160,58,48,0,0,278500
900,2,3,,,1500000US060730009002,60730009002,34.1,38.1,31.2,843,610,359,74,0,133,29,0,15,0,15,233,45,33,0,62,15,0,28,33,70,38,38,15,30,13,0,0,42045,6,414,23685,65,355,0,0,0,0,0,0,0,0,0,0,0,0,19,0,110,75,8,75,42,13,0,13,162500
900,3,3,,,1500000US060730009003,60730009003,28.8,29.5,28.8,869,753,459,201,0,93,0,0,0,0,0,116,89,28,18,60,8,0,6,15,55,45,41,95,0,21,15,11,48841,0,507,35643,73,434,0,0,0,0,0,0,0,0,14,0,27,0,0,0,0,131,21,75,85,55,0,26,355700
900,4,4,,,1500000US060730009004,60730009004,68.5,55.8,74.1,754,714,562,0,13,49,0,0,90,0,90,40,39,169,129,51,45,0,36,10,0,0,21,39,22,0,16,0,17188,14,563,25412,50,527,12,0,0,25,81,54,106,0,30,0,40,0,0,0,23,37,13,51,45,10,0,0,321900
900,5,4,,,1500000US060730009005,60730009005,28.6,25.8,29.9,716,348,329,12,0,7,0,0,0,0,0,368,43,0,0,0,0,18,35,29,39,0,133,28,24,0,0,18,62614,0,367,33746,78,289,0,0,0,0,0,0,0,0,0,0,0,0,7,28,0,41,99,37,29,48,0,0,246200
900,6,12,,,1500000US060730009006,60730009006,34.6,37.8,32.2,756,492,373,85,0,34,0,0,0,0,0,264,0,0,0,0,11,28,7,17,35,31,60,126,16,0,19,0,73333,17,333,35019,89,261,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,26,7,78,114,19,0,0,405200
1000,1,8,,4.0,1500000US060730010001,60730010001,36.0,36.2,35.9,1077,1046,960,7,0,37,0,0,42,11,31,31,16,11,0,36,25,4,0,18,71,24,87,130,48,44,14,15,70568,0,543,40055,194,349,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,28,10,92,99,72,14,12,318100
1000,2,1,,1.0,1500000US060730010002,60730010002,32.0,31.9,34.6,1375,979,873,37,0,37,0,0,32,0,32,396,13,0,0,14,12,0,25,23,72,124,123,214,43,0,0,57,72500,12,708,42288,258,462,0,0,0,0,0,0,0,0,0,0,0,16,0,0,15,12,120,196,45,44,0,14,418900
1000,3,2,,1.0,1500000US060730010003,60730010003,33.3,34.2,33.1,1711,1264,1167,12,0,44,0,0,41,0,41,447,30,45,0,0,40,102,24,78,35,41,117,157,28,84,42,0,61331,0,823,35714,152,671,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,41,73,219,178,34,114,0,382800
1000,4,9,,2.0,1500000US060730010004,60730010004,29.7,29.7,32.4,1123,911,590,83,0,109,0,0,129,0,129,212,12,23,7,0,0,12,64,46,101,57,44,40,74,0,11,13,49244,0,504,29996,93,411,0,0,0,13,0,7,0,0,0,0,0,0,0,0,12,57,26,194,89,13,0,0,689300
1100,1,1,,,1500000US060730011001,60730011001,37.6,39.0,33.8,1218,987,877,26,0,44,0,0,40,0,40,231,50,43,10,17,21,9,36,27,9,73,61,94,70,15,33,26,60455,14,580,38304,196,398,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,42,42,152,60,44,32,8,325800
1100,2,2,,1.0,1500000US060730011002,60730011002,29.8,29.2,30.2,1514,841,692,130,0,0,0,0,19,0,19,673,52,25,49,49,42,43,10,41,88,72,59,62,17,32,11,0,45694,20,632,23607,71,581,0,0,0,11,0,0,0,0,0,0,0,0,12,0,76,98,56,172,92,35,29,0,218000
1100,3,2,,1.0,1500000US060730011003,60730011003,34.1,33.7,34.2,732,459,403,27,0,20,0,0,9,0,9,273,42,34,37,7,26,42,17,10,37,38,33,28,39,15,14,0,43625,10,409,29778,122,297,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,54,24,56,99,22,5,10,315200
1200,1,2,,3.0,1500000US060730012001,60730012001,32.1,28.1,36.1,1334,773,468,177,0,80,0,10,38,0,38,561,33,18,11,139,42,44,136,62,47,0,31,50,21,26,0,14,36116,0,674,24843,40,634,0,0,12,0,0,0,0,0,0,0,0,0,0,62,97,87,166,99,48,47,0,16,161400
1200,2,1,,3.0,1500000US060730012002,60730012002,27.6,28.4,25.7,1586,725,550,42,36,49,0,0,48,0,48,861,0,90,30,32,40,0,85,0,14,97,57,96,83,30,0,0,56622,43,611,25615,133,521,0,0,0,0,15,0,0,0,14,0,0,0,0,14,25,95,101,139,92,9,0,17,313400
1200,3,6,,1.0,1500000US060730012003,60730012003,30.3,26.4,34.4,1302,1063,725,73,0,122,16,50,77,0,77,239,0,31,53,9,25,27,77,87,61,24,48,86,71,22,0,58,48306,13,666,49658,109,570,0,0,0,0,0,0,0,0,0,0,0,68,0,0,14,164,115,76,20,69,44,0,299400
1200,4,3,,3.0,1500000US060730012004,60730012004,37.1,50.1,31.1,1685,1021,766,98,0,121,0,0,36,0,36,664,118,16,46,60,0,138,27,78,104,68,39,152,0,13,21,27,41837,0,907,29196,193,714,14,0,0,0,0,0,0,0,12,0,0,0,0,0,17,172,111,300,32,56,0,0,238100
1300,1,2,,6.0,1500000US060730013001,60730013001,32.5,32.3,33.7,735,603,282,130,0,64,0,0,127,53,74,132,31,55,0,27,42,5,51,33,15,47,22,22,24,9,0,18,39153,13,388,27846,77,324,0,0,0,0,0,0,0,0,0,0,0,46,12,11,15,77,31,80,27,25,0,0,459400
1300,2,35,,2.0,1500000US060730013002,60730013002,35.6,36.0,35.6,2032,1551,1000,224,0,252,0,0,75,0,75,481,176,52,15,108,73,21,24,53,58,136,126,150,61,12,0,0,45610,26,1039,27130,231,834,0,0,0,12,0,0,17,0,0,0,0,0,15,13,29,42,69,273,158,158,48,0,227400
1300,3,4,,,1500000US060730013003,60730013003,30.1,34.7,28.7,1106,619,351,146,0,44,42,0,36,0,36,487,12,22,11,33,29,12,59,23,59,111,24,49,7,8,13,0,46483,11,461,22973,33,439,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,63,91,87,84,13,34,12,361100
1300,4,4,,,1500000US060730013004,60730013004,30.8,35.7,28.6,1375,995,610,131,50,142,0,0,62,0,62,380,0,14,57,50,27,33,38,64,26,90,165,112,36,0,0,8,53235,0,720,30378,111,609,0,0,0,0,0,0,38,0,0,0,0,12,14,0,0,106,71,219,94,55,0,0,353200
1300,5,6,,1.0,1500000US060730013005,60730013005,31.7,36.1,28.0,1254,892,445,223,43,131,0,0,50,0,50,362,22,12,49,39,51,69,39,64,33,25,66,78,0,37,14,0,40703,83,515,25583,97,501,0,0,0,0,0,0,37,12,0,0,0,0,0,0,0,95,125,101,94,14,0,23,189500
1400,1,15,,2.0,1500000US060730014001,60730014001,31.6,36.0,28.7,593,405,385,0,0,20,0,0,0,0,0,188,9,23,16,0,9,21,23,4,24,0,9,60,21,17,9,10,47344,0,255,32867,68,187,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,66,4,51,0,7,50,0,605900
1400,2,2,,2.0,1500000US060730014002,60730014002,44.0,56.6,33.8,742,635,579,13,0,19,0,0,24,0,24,107,12,43,11,0,37,18,0,15,9,18,27,44,32,10,45,79,90000,0,400,65578,277,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,9,17,24,28,8,0,566700
1400,3,3,,1.0,1500000US060730014003,60730014003,35.9,35.5,36.3,1765,1402,1065,121,0,77,11,11,117,15,102,363,75,48,44,26,27,58,37,46,23,54,61,127,73,79,89,61,64286,17,911,44684,276,652,0,0,0,0,0,0,0,11,11,0,0,8,18,0,16,40,66,157,152,117,34,22,566700
1500,1,5,,,1500000US060730015001,60730015001,35.9,35.7,39.3,1156,713,493,125,0,95,0,0,0,0,0,443,27,79,19,10,7,9,75,28,27,66,32,67,8,48,47,18,50284,0,567,35257,185,382,0,0,0,0,11,0,0,0,0,32,0,20,0,0,67,22,28,77,53,46,8,18,364400
1500,4,5,,,1500000US060730015004,60730015004,32.3,37.2,31.0,1115,667,373,150,0,67,0,0,77,0,77,448,61,48,27,7,15,0,15,33,40,42,61,39,35,56,9,11,52898,8,491,28735,87,412,0,0,0,8,0,12,0,8,0,8,0,0,0,13,0,70,69,164,9,0,51,0,456300
1600,1,27,,5.0,1500000US060730016001,60730016001,29.1,32.5,22.7,2110,869,483,236,0,136,0,0,14,0,14,1241,57,47,49,97,79,0,0,7,91,55,66,22,24,0,28,0,27460,0,622,14451,157,465,0,0,0,0,0,0,0,16,0,0,0,0,24,0,58,35,21,136,169,6,0,0,192500
1600,2,7,,3.0,1500000US060730016002,60730016002,35.2,36.8,34.5,1097,700,183,403,0,55,0,0,59,0,59,397,21,40,0,21,70,63,50,15,21,32,59,9,25,0,0,0,34868,0,426,16746,64,362,0,0,0,0,0,0,0,0,0,0,0,0,21,0,43,43,115,97,12,21,0,10,328600
1600,3,4,,1.0,1500000US060730016003,60730016003,35.8,31.0,52.2,1128,236,97,109,0,19,0,11,0,0,0,892,19,55,63,0,0,72,0,101,49,64,55,12,0,0,25,0,41200,69,446,22506,49,466,0,0,0,0,0,0,0,0,0,0,72,0,0,0,89,122,19,80,25,42,17,0,347900
1600,4,16,,,1500000US060730016004,60730016004,42.9,35.8,51.5,995,860,547,187,0,110,0,0,16,0,16,135,89,81,0,55,24,75,42,21,12,32,46,78,55,0,0,18,33810,39,589,33976,87,541,0,0,0,41,24,0,0,0,0,0,0,12,8,26,71,210,56,31,32,18,12,0,238800
1700,1,1,,1.0,1500000US060730017001,60730017001,32.9,34.3,32.6,1424,603,507,96,0,0,0,0,0,0,0,821,17,86,80,53,16,43,57,0,147,112,36,46,21,0,0,0,45111,39,675,21931,181,533,0,0,0,0,0,0,0,0,0,0,0,0,32,0,33,59,81,266,62,0,0,0,219700
1700,2,6,,3.0,1500000US060730017002,60730017002,37.2,35.7,37.9,1042,694,609,57,0,11,0,0,17,0,17,348,113,31,25,11,59,18,69,15,35,0,54,37,39,42,47,0,38967,16,579,32556,155,440,0,0,0,0,0,0,0,0,0,0,0,0,0,15,81,104,46,86,16,69,0,23,421400
1700,3,2,,1.0,1500000US060730017003,60730017003,35.5,35.2,36.2,1308,702,452,86,0,87,0,0,77,0,77,606,24,0,23,50,56,40,42,33,67,34,108,57,49,10,0,0,46063,0,593,24442,180,413,0,0,0,0,0,12,0,25,0,0,0,0,0,49,42,23,28,110,42,71,0,11,327500
1800,1,9,,,1500000US060730018001,60730018001,37.7,37.6,37.8,673,495,354,0,0,34,0,0,107,0,107,178,15,13,34,46,15,0,0,0,14,17,55,39,29,0,34,0,60250,0,311,30302,58,253,0,0,0,0,13,0,0,0,18,0,0,0,0,0,0,51,65,51,34,21,0,0,536800
1800,2,12,,,1500000US060730018002,60730018002,26.8,28.9,24.4,1902,1262,925,267,0,7,0,0,63,0,63,640,88,34,27,31,68,28,61,14,16,78,28,73,79,0,0,42,39417,45,622,20878,167,500,0,0,0,0,18,0,0,0,0,0,7,0,0,15,15,87,108,227,23,0,0,0,350000
1800,3,1,,2.0,1500000US060730018003,60730018003,44.8,34.7,62.3,394,183,126,31,0,15,0,0,11,0,11,211,25,84,50,0,12,16,0,13,0,0,7,11,15,9,0,0,16200,0,242,20575,16,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,54,53,107,0,0,0,0,-
1800,5,1,,,1500000US060730018005,60730018005,30.5,27.8,33.3,1188,995,434,459,0,46,0,11,45,0,45,193,27,14,0,41,12,68,66,67,30,71,38,85,0,0,56,0,42220,0,575,30521,166,409,0,0,0,0,0,0,0,14,0,0,0,0,0,0,51,27,159,120,14,24,0,0,263100
1900,1,1,1.0,,1500000US060730019001,60730019001,42.9,39.0,49.5,941,803,688,27,10,46,0,0,32,0,32,138,0,7,37,9,8,7,22,14,15,12,42,83,33,38,75,39,95612,0,441,50809,292,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,70,22,0,18,22,0,575000
1900,2,2,,1.0,1500000US060730019002,60730019002,45.5,46.0,44.4,1258,1012,913,0,0,6,0,0,93,0,93,246,0,25,0,31,17,8,26,55,6,13,84,85,53,47,86,39,86435,23,552,46838,401,174,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,44,11,37,44,7,506300
2001,2,4,1.0,14.0,1500000US060730020012,60730020012,45.6,47.6,43.9,1335,1307,1219,39,0,24,0,0,25,13,12,28,0,0,17,9,17,20,18,11,37,9,16,91,95,73,115,140,123500,7,661,70926,466,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,39,9,105,11,700400
2001,3,1,,2.0,1500000US060730020013,60730020013,50.7,50.2,50.9,783,573,535,14,0,15,0,0,9,0,9,210,0,0,0,10,10,0,20,15,0,36,10,25,9,50,64,83,148304,0,332,63184,316,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,687100
2002,1,1,,2.0,1500000US060730020021,60730020021,39.1,39.7,38.4,1104,998,804,90,0,24,0,0,80,0,80,106,16,29,24,66,0,9,10,26,14,18,22,80,28,58,50,9,67750,6,453,36540,316,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,65,0,18,7,7,515700
2002,2,1,1.0,6.0,1500000US060730020022,60730020022,37.1,32.9,40.5,1499,1280,1041,189,0,31,0,0,19,0,19,219,21,0,9,7,0,9,18,0,29,37,80,88,118,98,77,53,106250,0,644,50580,328,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,164,23,103,0,567500
2100,1,6,,1.0,1500000US060730021001,60730021001,46.2,40.1,46.8,967,813,581,198,0,23,0,0,11,11,0,154,11,14,67,14,30,20,28,13,23,93,40,79,24,30,0,23,55250,22,487,44420,172,337,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,33,66,86,75,29,0,0,637200
2100,2,10,,1.0,1500000US060730021002,60730021002,35.3,36.0,35.3,846,438,376,29,0,33,0,0,0,0,0,408,20,0,0,26,11,55,40,0,45,150,20,30,0,0,0,18,50271,0,415,29129,33,382,0,0,0,0,0,0,0,0,0,0,0,0,41,0,82,39,19,126,14,61,0,0,225000
2100,3,33,,2.0,1500000US060730021003,60730021003,30.1,29.7,30.6,742,411,249,17,24,121,0,0,0,0,0,331,0,91,11,0,0,65,43,0,0,112,11,31,74,0,0,0,52545,12,426,31335,86,352,0,0,0,0,0,0,0,0,0,0,39,0,51,0,50,46,63,49,54,0,0,0,354200
2100,4,80,,7.0,1500000US060730021004,60730021004,28.9,30.5,27.9,1114,539,297,133,26,25,0,0,58,0,58,575,13,114,41,24,0,48,31,33,0,17,29,68,90,0,0,0,36129,39,469,24916,121,387,0,0,0,0,0,0,0,0,0,0,15,0,15,31,33,99,112,13,15,54,0,0,337500
2100,5,12,,6.0,1500000US060730021005,60730021005,41.2,40.5,41.6,1240,879,481,164,16,204,0,0,14,0,14,361,27,104,0,62,33,37,0,29,35,46,24,61,45,16,15,0,40833,9,525,22778,130,404,0,0,0,0,0,0,0,0,0,0,12,0,15,16,13,22,113,184,8,21,0,0,315800
2201,1,19,,3.0,1500000US060730022011,60730022011,26.3,26.7,25.8,1806,881,98,624,0,122,0,0,37,16,21,925,61,65,23,55,118,61,15,66,69,29,21,2,0,0,0,0,29215,106,479,10087,55,530,0,0,0,5,0,0,29,0,0,53,35,18,0,0,22,112,97,138,21,0,0,0,245800
2201,2,7,,5.0,1500000US060730022012,60730022012,26.9,27.2,26.4,1901,518,147,123,0,170,0,0,78,0,78,1383,84,70,89,25,80,44,36,23,58,75,34,2,0,0,0,0,27386,19,601,10329,45,575,0,0,0,0,0,0,0,0,0,0,0,25,0,33,55,89,207,129,33,4,0,0,410000
2202,1,3,,1.0,1500000US060730022021,60730022021,23.0,22.5,23.4,1992,519,88,99,0,296,0,12,24,0,24,1473,53,195,65,30,72,39,0,24,15,53,17,5,0,19,0,0,17031,120,467,8971,16,571,0,0,34,17,19,0,0,13,22,9,54,19,7,77,27,125,31,35,0,73,0,9,-
2202,2,5,,2.0,1500000US060730022022,60730022022,24.9,21.0,29.0,2429,745,121,103,0,503,0,0,18,0,18,1684,118,175,37,80,5,10,65,0,53,92,4,11,0,0,0,0,18214,0,650,8052,39,611,0,0,0,30,60,0,0,5,0,8,0,0,7,21,110,87,63,118,62,40,0,0,225800
2202,3,1,,3.0,1500000US060730022023,60730022023,31.5,31.0,32.7,978,410,163,11,0,212,0,0,24,0,24,568,31,42,16,25,38,30,23,35,17,20,44,7,8,9,0,0,31708,32,313,14495,29,316,0,0,0,0,0,0,0,7,0,0,8,9,0,19,49,117,0,44,63,0,0,0,227900
2302,1,2,,,1500000US060730023021,60730023021,34.6,31.8,36.2,2497,1773,374,262,0,1063,0,0,74,0,74,724,184,253,68,56,41,61,45,27,0,21,110,54,15,0,0,0,18621,120,815,12359,81,854,0,0,0,116,54,0,30,12,0,26,4,20,53,142,91,29,46,130,34,15,52,0,332500
2302,2,2,,,1500000US060730023022,60730023022,26.0,29.1,24.1,2114,484,20,164,0,250,0,0,50,0,50,1630,52,94,34,83,48,12,57,0,15,37,0,70,37,0,0,0,27839,15,524,10980,44,495,0,0,0,20,0,0,0,0,0,0,0,58,0,36,56,191,76,47,0,11,0,0,-
2302,3,2,,1.0,1500000US060730023023,60730023023,25.8,25.3,28.0,2200,830,24,465,0,337,0,0,4,0,4,1370,94,63,84,130,19,85,49,40,40,19,0,0,0,0,0,0,23497,29,594,7300,41,582,0,0,0,0,0,10,0,0,25,12,0,0,74,29,101,185,59,58,19,0,0,10,-
2401,1,29,,,1500000US060730024011,60730024011,24.4,24.6,23.6,1486,320,185,95,9,31,0,0,0,0,0,1166,13,51,16,6,21,0,9,17,22,37,56,43,39,0,0,0,53500,29,301,12802,27,303,0,0,0,0,0,0,0,0,0,0,0,0,11,6,65,12,62,56,50,13,28,0,213900
2401,2,2,,,1500000US060730024012,60730024012,29.2,28.8,35.1,1892,961,657,68,0,236,0,0,0,0,0,931,126,17,40,10,35,24,0,40,36,56,46,51,51,0,0,50,42438,58,524,19977,193,389,0,0,0,0,0,0,0,0,7,0,0,0,15,47,81,52,34,77,68,0,0,8,267400
2401,3,5,,2.0,1500000US060730024013,60730024013,33.5,32.8,33.6,1454,1014,448,328,27,126,0,0,85,0,85,440,0,108,80,73,27,39,17,36,22,92,89,46,31,0,13,0,36397,15,658,21828,113,560,0,0,0,24,0,9,0,4,0,0,7,18,0,51,35,80,109,93,95,19,0,16,301300
2402,2,6,,1.0,1500000US060730024022,60730024022,26.0,18.7,31.1,2000,651,183,180,0,288,0,0,0,0,0,1349,116,66,74,13,104,89,41,40,10,15,13,24,0,0,0,0,26396,29,576,8713,40,565,0,0,0,22,6,0,0,0,6,13,0,20,0,29,59,100,98,85,113,0,0,14,266700
2501,1,6,,,1500000US060730025011,60730025011,33.2,30.0,34.5,2863,806,299,308,0,199,0,0,0,0,0,2057,41,63,59,31,7,7,54,0,66,106,73,100,0,4,35,0,49519,14,632,12465,353,293,0,0,0,0,0,8,0,0,0,0,19,0,0,11,25,35,43,99,53,0,0,0,280900
2501,2,4,1.0,,1500000US060730025012,60730025012,38.6,38.6,38.7,1083,526,218,29,0,229,0,0,50,0,50,557,58,10,48,28,9,8,0,27,15,60,15,28,40,5,14,0,41991,0,365,17078,157,208,0,0,0,0,0,0,8,6,0,17,0,0,0,25,9,18,47,4,43,21,0,10,354200
2502,1,2,,4.0,1500000US060730025021,60730025021,36.6,35.7,39.0,3105,1617,967,68,45,400,39,0,98,0,98,1488,36,16,32,7,48,16,13,49,63,103,124,207,73,73,19,51,66375,46,884,25378,751,179,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,58,16,52,46,0,297900
2502,2,17,,1.0,1500000US060730025022,60730025022,27.1,24.9,29.0,2518,973,307,461,0,169,0,0,36,0,36,1545,58,42,106,81,47,31,66,0,87,61,82,51,3,13,20,12,38068,62,698,14768,211,549,9,25,9,0,10,16,0,0,0,16,0,0,0,11,10,45,121,163,47,58,0,9,363700
2502,3,5,,1.0,1500000US060730025023,60730025023,39.7,39.1,49.7,663,436,226,90,18,74,0,0,28,0,28,227,35,45,10,34,0,18,48,10,5,21,12,56,0,0,13,0,37599,38,269,21453,83,224,0,0,0,0,0,0,8,0,0,10,0,0,0,31,0,19,0,104,24,28,0,0,323300
2601,1,3,,,1500000US060730026011,60730026011,26.7,29.6,24.2,2379,555,168,82,10,217,0,0,78,0,78,1824,39,6,74,94,43,18,23,76,20,3,53,63,9,0,0,0,33125,10,511,9513,135,386,0,0,0,0,0,0,0,0,11,0,0,32,0,0,0,106,8,81,79,69,0,0,237500
2601,2,1,,3.0,1500000US060730026012,60730026012,25.2,24.2,26.7,2085,510,43,0,0,467,0,0,0,0,0,1575,76,51,61,76,53,75,84,0,10,18,28,24,0,0,2,0,28208,53,505,8774,81,477,0,0,0,0,0,0,0,0,0,0,0,48,0,55,46,103,106,79,40,0,0,0,194100
2601,3,1,,1.0,1500000US060730026013,60730026013,31.3,30.6,32.3,1405,704,400,17,0,273,0,0,14,0,14,701,39,46,42,7,40,0,36,34,20,34,45,44,35,12,0,10,42963,32,412,17443,141,303,0,0,0,0,0,0,8,0,0,18,10,0,0,0,10,30,35,109,33,40,0,10,263900
2602,1,3,,,1500000US060730026021,60730026021,27.3,22.9,34.1,1378,771,107,215,0,436,0,7,6,0,6,607,21,21,0,0,25,62,0,9,10,81,52,33,34,0,5,0,53795,39,314,14995,68,285,0,0,0,0,0,0,19,0,0,10,13,0,0,0,26,31,64,86,0,0,0,36,312900
