tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
8347.0,4.0,2.0,0.0,0.0,0.0,32.0,218866.0,32.9292352,-117.1498655,0.000146208182175,,,785,0.00254777070064,0.0,0.0,0.0
8902.0,2.0,16.0,4.0,1.0,0.0,28.0,769110.0,32.7666935,-117.1740746,3.64057156974e-05,205.38550762,476.421516073,1134,0.0141093474427,0.25,0.0625,0.0
8702.0,2.0,25.0,1.0,4.0,2.0,92.0,1372254.0,32.7812135,-117.1582498,6.70429818386e-05,190.106088361,92.3459873499,1701,0.0146972369195,0.04,0.16,0.08
9104.0,1.0,20.0,0.0,0.0,0.0,42.0,556879.0,32.7813624,-117.2032921,7.54203336811e-05,,,1422,0.014064697609,0.0,0.0,0.0
9202.0,1.0,18.0,5.0,1.0,2.0,84.0,1738457.0,32.7820463,-117.1473603,4.83187102126e-05,153.615067323,1.93191903627,1562,0.01152368758,0.277777777778,0.0555555555556,0.111111111111
9301.0,2.0,13.0,0.0,0.0,0.0,44.0,751627.0,32.7964852,-117.1342016,5.85396745992e-05,,,1333,0.00975243810953,0.0,0.0,0.0
9510.0,3.0,0.0,,,,,,,,,,,1104,0.0,,,
9704.0,4.0,7.0,0.0,0.0,0.0,31.0,670642.0,32.8023694,-117.0600514,4.62243641168e-05,,,745,0.00939597315436,0.0,0.0,0.0
9802.0,1.0,24.0,7.0,0.0,0.0,83.0,579832.0,32.7961346,-117.0200128,0.00014314491094,68.6382086463,,1116,0.0215053763441,0.291666666667,0.0,0.0
10104.0,1.0,15.0,6.0,0.0,0.0,41.0,961651.0,32.5636143,-117.0970072,4.26350099984e-05,59.604410568,,1670,0.00898203592814,0.4,0.0,0.0
10200.0,6.0,1.0,1.0,0.0,0.0,,,,,,5612.50118369,,1368,0.000730994152047,1.0,0.0,0.0
10300.0,3.0,0.0,,,,,,,,,,,1482,0.0,,,
13606.0,4.0,0.0,,,,,,,,,,,1533,0.0,,,
16614.0,2.0,0.0,,,,,,,,,,,1724,0.0,,,
16616.0,2.0,0.0,,,,,,,,,,,2609,0.0,,,
11300.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,2666,0.000375093773443,0.0,0.0,0.0
11902.0,3.0,0.0,,,,,,,,,,,1094,0.0,,,
12501.0,1.0,0.0,,,,,,,,,,,1544,0.0,,,
12501.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,1439,0.000694927032662,0.0,0.0,0.0
12502.0,1.0,0.0,,,,,,,,,,,1187,0.0,,,
18612.0,2.0,0.0,,,,,,,,,,,1501,0.0,,,
18613.0,2.0,0.0,,,,,,,,,,,560,0.0,,,
18614.0,2.0,0.0,,,,,,,,,,,1863,0.0,,,
19301.0,2.0,0.0,,,,,,,,,,,2938,0.0,,,
19403.0,3.0,0.0,,,,,,,,,,,644,0.0,,,
20029.0,3.0,0.0,,,,,,,,,,,2286,0.0,,,
20209.0,3.0,0.0,,,,,,,,,,,662,0.0,,,
20211.0,4.0,0.0,,,,,,,,,,,962,0.0,,,
20213.0,1.0,0.0,,,,,,,,,,,1846,0.0,,,
20213.0,2.0,0.0,,,,,,,,,,,875,0.0,,,
20214.0,2.0,0.0,,,,,,,,,,,2662,0.0,,,
20214.0,3.0,0.0,,,,,,,,,,,1216,0.0,,,
20809.0,3.0,0.0,,,,,,,,,,,2657,0.0,,,
3603.0,2.0,17.0,1.0,1.0,1.0,26.0,230776.0,32.6848546,-117.1063686,0.000112663361875,53.8991498409,236.802346153,1702,0.00998824911868,0.0588235294118,0.0588235294118,0.0588235294118
3401.0,4.0,24.0,6.0,6.0,0.0,86.0,800484.0,32.7262393,-117.0897175,0.000107435001824,175.401688438,103.797085856,2649,0.00906002265006,0.25,0.25,0.0
14002.0,1.0,0.0,,,,,,,,,,,2303,0.0,,,
20401.0,1.0,0.0,,,,,,,,,,,996,0.0,,,
8348.0,3.0,5.0,0.0,0.0,0.0,44.0,591245.0,32.9121164,-117.1687159,7.44192339893e-05,,,2049,0.0024402147389,0.0,0.0,0.0
8350.0,4.0,1.0,0.0,0.0,0.0,32.0,297589.0,32.9068583,-117.1660672,0.000107530856315,,,2040,0.000490196078431,0.0,0.0,0.0
8354.0,2.0,9.0,0.0,1.0,0.0,34.0,466043.0,32.9284272,-117.1225547,7.29546415245e-05,,30.0546822838,2457,0.003663003663,0.0,0.111111111111,0.0
8363.0,2.0,0.0,,,,,,,,,,,2524,0.0,,,
8363.0,3.0,1.0,0.0,1.0,0.0,4.0,79447.0,32.8630916,-117.2237614,5.03480307626e-05,,85.2136378168,1827,0.000547345374932,0.0,1.0,0.0
8364.0,1.0,4.0,0.0,0.0,2.0,20.0,404363.0,32.8576312,-117.2259345,4.94605094927e-05,,,912,0.00438596491228,0.0,0.0,0.5
8364.0,2.0,1.0,1.0,0.0,0.0,7.0,241871.0,32.8621091,-117.2276112,2.89410470871e-05,259.64203813,,2481,0.000403063280935,1.0,0.0,0.0
8364.0,3.0,2.0,0.0,0.0,0.0,22.0,343009.0,32.858681,-117.2298905,6.41382587629e-05,,,1852,0.00107991360691,0.0,0.0,0.0
13802.0,2.0,0.0,,,,,,,,,,,1230,0.0,,,
14200.0,4.0,0.0,,,,,,,,,,,925,0.0,,,
14805.0,1.0,0.0,,,,,,,,,,,1426,0.0,,,
14806.0,1.0,0.0,,,,,,,,,,,912,0.0,,,
14902.0,2.0,0.0,,,,,,,,,,,641,0.0,,,
15601.0,3.0,0.0,,,,,,,,,,,1469,0.0,,,
15703.0,3.0,0.0,,,,,,,,,,,3452,0.0,,,
15901.0,2.0,0.0,,,,,,,,,,,1660,0.0,,,
15902.0,4.0,0.0,,,,,,,,,,,1999,0.0,,,
16302.0,3.0,0.0,,,,,,,,,,,1884,0.0,,,
